CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
4312807,4 - Sul,43,RS,Nova Araçá,4471,1 - Até 5000
4312906,4 - Sul,43,RS,Nova Bassano,9599,2 - 5001 até 10000
4312955,4 - Sul,43,RS,Nova Boa Vista,1932,1 - Até 5000
4313003,4 - Sul,43,RS,Nova Bréscia,3344,1 - Até 5000
4313011,4 - Sul,43,RS,Nova Candelária,2807,1 - Até 5000
4313037,4 - Sul,43,RS,Nova Esperança do Sul,5125,2 - 5001 até 10000
4313060,4 - Sul,43,RS,Nova Hartz,20405,4 - 20001 até 50000
4313086,4 - Sul,43,RS,Nova Pádua,2568,1 - Até 5000
4313102,4 - Sul,43,RS,Nova Palma,6605,2 - 5001 até 10000
4313201,4 - Sul,43,RS,Nova Petrópolis,20675,4 - 20001 até 50000
4313300,4 - Sul,43,RS,Nova Prata,25559,4 - 20001 até 50000
4313334,4 - Sul,43,RS,Nova Ramada,2417,1 - Até 5000
4313359,4 - Sul,43,RS,Nova Roma do Sul,3603,1 - Até 5000
4313375,4 - Sul,43,RS,Nova Santa Rita,26450,4 - 20001 até 50000
4313391,4 - Sul,43,RS,Novo Cabrais,4125,1 - Até 5000
4313409,4 - Sul,43,RS,Novo Hamburgo,249508,6 - 100001 até 500000
4313425,4 - Sul,43,RS,Novo Machado,3757,1 - Até 5000
4313441,4 - Sul,43,RS,Novo Tiradentes,2312,1 - Até 5000
4313466,4 - Sul,43,RS,Novo Xingu,1790,1 - Até 5000
4313490,4 - Sul,43,RS,Novo Barreiro,4181,1 - Até 5000
4313508,4 - Sul,43,RS,Osório,44468,4 - 20001 até 50000
4313607,4 - Sul,43,RS,Paim Filho,4172,1 - Até 5000
4313656,4 - Sul,43,RS,Palmares do Sul,11449,3 - 10001 até 20000
4313706,4 - Sul,43,RS,Palmeira das Missões,34844,4 - 20001 até 50000
4313805,4 - Sul,43,RS,Palmitinho,7184,2 - 5001 até 10000
4313904,4 - Sul,43,RS,Panambi,41781,4 - 20001 até 50000
4313953,4 - Sul,43,RS,Pantano Grande,9845,2 - 5001 até 10000
4314001,4 - Sul,43,RS,Paraí,7404,2 - 5001 até 10000
4314027,4 - Sul,43,RS,Paraíso do Sul,7677,2 - 5001 até 10000
4314035,4 - Sul,43,RS,Pareci Novo,3760,1 - Até 5000
4314050,4 - Sul,43,RS,Parobé,56277,5 - 50001 até 100000
4314068,4 - Sul,43,RS,Passa Sete,5554,2 - 5001 até 10000
4314076,4 - Sul,43,RS,Passo do Sobrado,6430,2 - 5001 até 10000
4314100,4 - Sul,43,RS,Passo Fundo,198799,6 - 100001 até 500000
4314134,4 - Sul,43,RS,Paulo Bento,2308,1 - Até 5000
4314159,4 - Sul,43,RS,Paverama,8485,2 - 5001 até 10000
4314175,4 - Sul,43,RS,Pedras Altas,2168,1 - Até 5000
4314209,4 - Sul,43,RS,Pedro Osório,7999,2 - 5001 até 10000
4314308,4 - Sul,43,RS,Pejuçara,4043,1 - Até 5000
4314407,4 - Sul,43,RS,Pelotas,344385,6 - 100001 até 500000
4314423,4 - Sul,43,RS,Picada Café,5595,2 - 5001 até 10000
4314456,4 - Sul,43,RS,Pinhal,2616,1 - Até 5000
4314464,4 - Sul,43,RS,Pinhal da Serra,2104,1 - Até 5000
4314472,4 - Sul,43,RS,Pinhal Grande,4544,1 - Até 5000
4314498,4 - Sul,43,RS,Pinheirinho do Vale,4803,1 - Até 5000
4314506,4 - Sul,43,RS,Pinheiro Machado,12913,3 - 10001 até 20000
4314548,4 - Sul,43,RS,Pinto Bandeira,2868,1 - Até 5000
4314555,4 - Sul,43,RS,Pirapó,2625,1 - Até 5000
4314605,4 - Sul,43,RS,Piratini,20799,4 - 20001 até 50000
4314704,4 - Sul,43,RS,Planalto,10623,3 - 10001 até 20000
4314753,4 - Sul,43,RS,Poço das Antas,2112,1 - Até 5000
4314779,4 - Sul,43,RS,Pontão,3990,1 - Até 5000
4314787,4 - Sul,43,RS,Ponte Preta,1706,1 - Até 5000
4314803,4 - Sul,43,RS,Portão,34692,4 - 20001 até 50000
4314902,4 - Sul,43,RS,Porto Alegre,1484941,7 - Maior que 500000
4315008,4 - Sul,43,RS,Porto Lucena,5227,2 - 5001 até 10000
4315057,4 - Sul,43,RS,Porto Mauá,2536,1 - Até 5000
4315073,4 - Sul,43,RS,Porto Vera Cruz,1676,1 - Até 5000
4315107,4 - Sul,43,RS,Porto Xavier,10718,3 - 10001 até 20000
4315131,4 - Sul,43,RS,Pouso Novo,1819,1 - Até 5000
4315149,4 - Sul,43,RS,Presidente Lucena,2752,1 - Até 5000
